annee,trimestre,rdb,rdb_uc,pa_rdb,pa_rdb_uc,taux_epargne,taux_epargne_financier,periode
2005,T1,121.90576512942361,117.05414912292217,112.04288894314448,107.56338684359936,1475.9874789242083,246.14515460054128,2005-T1
2005,T2,123.12482278071785,117.99058231590554,112.6031033878602,107.88607700413016,1679.673751015749,254.26794470235913,2005-T2
2005,T3,124.47919583130574,119.05249755674869,113.05351580141165,108.10184915813842,1909.7890549049066,262.65878687753695,2005-T3
2005,T4,125.97294618128142,120.24302253231617,114.07099744362435,108.85856210224539,2175.249733536689,271.3265268444957,2005-T4
2006,T1,127.23267564309423,121.2049667125747,114.41321043595522,108.96742066434763,2468.908447564142,278.92366959614156,2006-T1
2006,T2,129.7773291559561,123.38665611340105,115.90058217162264,110.16606229165545,2814.555630223122,288.40707436241036,2006-T2
2006,T3,131.20487977667162,124.49713601842166,116.59598566465237,110.49656047853041,3222.666196605475,299.65495026254433,2006-T3
2006,T4,133.041748093545,125.99110165064272,118.22832946395751,111.71202264379424,3709.2887922929017,312.54011312383375,2006-T4
2007,T1,134.63824907066754,127.1250215654985,119.05592777020522,112.27058275701322,4273.100688721423,325.9793379881586,2007-T1
2007,T2,136.5231845576569,128.523396802719,119.77026333682645,112.71966508804127,4909.792691340915,339.3444908456731,2007-T2
2007,T3,138.02493958779112,129.68010737394346,120.24934439017375,112.94510441821735,5621.7126315853475,351.5608925161173,2007-T3
2007,T4,140.23333862119577,131.36594876980473,120.85059111212462,113.283939731472,6448.104388428394,364.5686455392136,2007-T4
2008,T1,142.0563720232713,132.8109742062726,121.213142885461,113.39722367120348,7434.664359857938,379.8805286518606,2008-T1
2008,T2,142.48254113934112,132.94378518047887,120.48586402814823,112.49004588183385,8534.994685116912,393.9361082119794,2008-T2
2008,T3,141.77012843364443,132.01317868421552,119.64246297995119,111.47763546889735,9755.49892508863,406.9359997829747,2008-T3
2008,T4,141.34481804834348,131.35311279079443,120.3603177578309,111.92354601077294,11228.579262777013,426.0619917727745,2008-T4
2009,T1,141.0621284122468,130.82770033963124,121.20283998213571,112.4831637408268,13002.694786295782,451.62571127914094,2009-T1
2009,T2,141.62637692589578,131.0893557403105,122.29366554197493,113.27054588701259,15083.125952103108,481.43300822356423,2009-T2
2009,T3,142.47613518745115,131.61371316327174,123.14972120076875,113.83689861644766,17586.924860152223,517.059050832108,2009-T3
2009,T4,142.9035635930135,131.8769405895983,123.39602064317029,113.83689861644766,20418.41976263673,552.7361253395235,2009-T4
2010,T1,144.18969566535063,132.8000791737255,123.7662087050998,113.9507355150641,23685.366924658607,590.322181862611,2010-T1
2010,T2,145.48740292633877,133.72967972794157,124.2612735399202,114.17863698609422,27498.710999528645,630.4640902292685,2010-T2
2010,T3,146.65130214974948,134.5320578063092,125.00684118115971,114.63535153403859,31953.502181452284,673.3356483648588,2010-T3
2010,T4,147.23790735834848,134.80112192192183,125.00684118115971,114.40608083097051,36938.24852175884,713.7357872667503,2010-T4
2011,T1,147.97409689514024,135.2055252876876,124.75682749879739,113.94845650764663,42442.04755150091,751.563783991888,2011-T1
2011,T2,148.86194147651108,135.74634738883836,124.88158432629619,113.83450805113898,49232.77515974105,798.912302383377,2011-T2
2011,T3,148.86194147651108,135.4748546940607,124.6318211576436,113.37917001893443,56962.3208598204,846.8470405263796,2011-T3
2011,T4,149.3085273009406,135.61032954875475,124.50718933648595,113.15241167889656,66019.32987653185,900.1984040795415,2011-T4
2012,T1,150.3536869920472,136.42399152604727,124.63169652582243,113.03925926721766,76450.38399702388,956.9109035365526,2012-T1
2012,T2,151.10545542700743,136.96968749215145,125.00559161539991,113.15229852648487,88911.79658853877,1021.9808449770381,2012-T2
2012,T3,150.80324451615343,136.42180874218283,124.75558043216911,112.69968933237892,103315.50763588205,1091.4755424354767,2012-T3
