date_mutation,valeur_fonciere,code_postal,nom_commune,surface_carrez,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
2014-01-09,290000.0,44230,Saint-Sébastien-sur-Loire,,Maison,103.0,6,710.0,-1.510329,47.189522
2014-01-24,235000.0,44300,Nantes,64.63,Appartement,78.0,3,,-1.559056,47.234583
2014-01-20,168398.0,44000,Nantes,69.51,Appartement,69.0,3,,-1.5328950000000001,47.222497
2014-01-10,280000.0,44200,Nantes,,Maison,100.0,4,227.0,-1.528166,47.185476
2014-01-22,65000.0,44000,Nantes,,Appartement,18.0,1,,-1.54774,47.211692
2014-01-21,205000.0,44100,Nantes,,Maison,60.0,4,55.0,-1.589803,47.2155
2014-01-03,130000.0,44300,Nantes,,Maison,47.0,2,345.0,-1.519796,47.259671000000004
2014-01-07,241350.0,44100,Nantes,,Maison,83.0,5,377.0,-1.612339,47.202425
2014-01-03,280253.0,44300,Nantes,,Maison,91.0,4,410.0,-1.52099,47.224271
2014-01-22,102000.0,44000,Nantes,27.94,Appartement,27.0,1,,-1.565667,47.226493
2014-01-10,102000.0,44000,Nantes,40.04,Appartement,39.0,2,,-1.555291,47.216086
2014-01-09,60185.0,44300,Nantes,26.69,Appartement,28.0,1,,-1.569167,47.23215
2014-01-10,65000.0,44100,Nantes,19.87,Appartement,20.0,1,,-1.569878,47.209241999999996
2014-01-10,62000.0,44200,Nantes,32.28,Appartement,32.0,1,,-1.5403120000000001,47.194738
2014-01-20,176000.0,44800,Saint-Herblain,,Maison,78.0,4,188.0,-1.5870229999999999,47.235937
2014-01-23,136535.12,44300,Nantes,71.66,Appartement,72.0,3,,-1.518471,47.268302
2014-01-03,60000.0,44100,Nantes,21.37,Appartement,18.0,1,,-1.571764,47.211562
2014-01-06,345000.0,44100,Nantes,,Maison,70.0,2,278.0,-1.583693,47.221171999999996
2014-01-17,215000.0,44000,Nantes,,Maison,63.0,4,116.0,-1.553333,47.229608
